"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","18","0","","0"
"0","Website Testing","0","Home Page","1","0","Page Load Validation","0"
"0","End-to-End Testing","0","Complete User Journey","2","0","User Journey with Message Validation","0"
"0","Website Testing","0","Home Page","2","0","Navigation Flow","0"
"0","Website Testing","0","Home Page","2","0","","0"
"0","End-to-End Testing","0","Complete User Journey","1","0","Test Data Validation","0"
"0","Website Testing","0","Home Page","1","0","Content Visibility","0"
"0","End-to-End Testing","0","Complete User Journey","1","0","User Journey - John Doe","0"
"0","End-to-End Testing","0","Complete User Journey","1","0","User Journey - Alice Johnson","0"
